﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:77j7kF8EeK2GpCqRX6L6BQ","Aldeia De Ogum","Joyce","Da Cor Brasileira","1","13","274813","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:19Z"
"spotify:track:3kt1F8mkM6F9GbWgy9kxU3","空想夜間飛行","Lamp","東京ユウトピア通信","1","1","256146","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:22Z"
"spotify:track:58BW9X4EEmarxjaXE6Izkw","The Girl From Ipanema - Stereo Version","Stan Getz, João Gilberto, Astrud Gilberto","Stan Getz's Finest Hour","1","6","325506","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:24Z"
"spotify:track:0yNMCWaGpS0lhQLjs12cr4","Lua Soberana","Sérgio Mendes","Brasileiro","1","5","253893","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:28Z"
"spotify:track:6Wi63rjHLhCnP7yr6nOAdg","Shaker Song","The Manhattan Transfer","Extensions","1","8","272506","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:32Z"
"spotify:track:4aq0YnCU5FXCCnarrcYdrC","Mudo Caguete","Bezerra Da Silva","Eu Não Sou Santo","1","3","218066","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:34Z"
"spotify:track:7cLDHvcjVkCd25M34797PC","Weightless","Levox","Weightless","1","1","135039","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:55Z"
"spotify:track:3i3GeK0qLQybu4ah42YmCY","Smooth (feat. Rob Thomas)","Santana, Rob Thomas","Ultimate Santana","1","3","295986","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:08:11Z"
"spotify:track:3QQ1Y3ns548DCt5vcIW7Lm","No Mar - Ao Vivo","Natiruts","Natiruts Acústico no Rio de Janeiro","1","16","207706","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:08:13Z"
"spotify:track:7cLDHvcjVkCd25M34797PC","Weightless","Levox","Weightless","1","1","135039","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:08:15Z"
"spotify:track:4EveU9Zb50mjgi5avDNqlK","Bamboleo","Gipsy Kings","!Volare! The Very Best of the Gipsy Kings","1","2","203173","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:08:17Z"
"spotify:track:6YTBfxkdGce9pLEy9jG9Jo","Mais Que Nada","Sergio Mendes & Brasil '66","Foursider","1","1","159466","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:08:21Z"
"spotify:track:3pHi49H2DjfnpqX6iOaLC8","Nemesis","Aaron Parks","Invisible Cinema","1","3","374613","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:44:13Z"
"spotify:track:7B5p2XX9Prn5OkI5mye6gE","Stadium Jazz","Donny McCaslin","Casting for Gravity (feat. Jason Lindner, Tim Lefebvre & Mark Guiliana)","1","1","437607","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:49:38Z"
"spotify:track:6RMWuShjqxuHL9HGL8pZeb","Spain","Chick Corea, Return To Forever","Verve Jazz Masters 3","1","7","589933","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:50:01Z"
